,document,label
0,"[{'summary_text': ' Berkshire earned $42.5 billion in 2020 according to generally accepted accounting principles . The four components of that figure are $21.9 billion of operating earnings, $4.9 . $26.7 billion gain from an increase in the amount of net unrealized capital gains .'}]",{'positive'}
1,"[{'summary_text': "" Operating earnings are what count most, even during periods when they're not the largest item in our GAAPtotal . Berkshire made no sizable acquisitions and operating earnings fell 9% last year . Berkshire increased Berkshire’s per-share intrinsic value by retaining earnings and repurchasing about 5% of our shares .""}]",{'neutral'}
2,"[{'summary_text': ' The two GAAP components pertaining to capital gains or losses (whether realized or unrealized) fluctuate from year to year, reflecting swings in the stock market . Berkshire’s capital gains from its investment holdings will be substantial .'}]",{'neutral'}
3,"[{'summary_text': ' Charlie and Charlie view Berkshire’s holdings of marketable stocks – at yearendworth $281 billion – as a collection of businesses . We don’t control the operations of those companies, but we do share proportionately in their long-term prosperity . Under GAAP, the huge sums that investees retain on our behalf become invisible .'}]",{'negative'}
4,"[{'summary_text': ' Unrecorded retained earnings are usually building value – lots of value – for Berkshire . Investees use the withheld funds to expand their business, make acquisitions, pay off debt and, often, to repurchase their stock .'}]",{'neutral'}
5,"[{'summary_text': ' Of course, some of our investees will disappoint, adding little, if anything, to the value of their company by retaining earnings . But others will over-deliver, a few spectacularly . In aggregate, we expect our share of the huge pile of earnings retained by Berkshire’s non-controlled businesses to deliver us an equal or greater capital gains .'}]",{'neutral'}
6,"[{'summary_text': ' The final component in our GAAP figure – that ugly $11 billion write-down – is almost entirely the quantification of a mistake I made in 2016 . Berkshire purchased Precision Castparts (“PCC”), and I paid too much for the company .'}]",{'negative'}
7,"[{'summary_text': ' In purchasing PCC, Berkshire bought a fine company – the best in its business . Mark Donegan is a passionate manager who consistently pours the same energy into the business that he did before we purchased it .'}]",{'positive'}
8,"[{'summary_text': ' I believe I was right in concluding that PCC would, over time, earn good returns on the net tangible assets deployed in its operations . I was wrong in judging the average amount of future earnings and, however, wrong in my calculation of the proper price to pay for the business .'}]",{'neutral'}
9,"[{'summary_text': ' Berkshire is often labeled a conglomerate, a negative term applied to holding companies that own a hodge-podge of unrelated businesses . Berkshire is a conglomerate but only in part . To understand how and why we differ from the prototype conglomerate, review a little history .'}]",{'neutral'}
